2026-03-29 11:17:21 - mkk_comic - app.py:505 - INFO - 开始下载: 魔都精兵的奴隸 - 第06话
2026-03-29 11:17:21 - mkk_comic - app.py:506 - INFO - 总页数: 19
2026-03-29 11:17:21 - mkk_comic - app.py:587 - INFO - 正在下载第 001/019 页...
2026-03-29 11:17:21 - mkk_comic - app.py:587 - INFO - 正在下载第 002/019 页...
2026-03-29 11:17:21 - mkk_comic - app.py:587 - INFO - 正在下载第 003/019 页...
2026-03-29 11:17:21 - mkk_comic - app.py:587 - INFO - 正在下载第 004/019 页...
2026-03-29 11:17:21 - mkk_comic - app.py:587 - INFO - 正在下载第 005/019 页...
2026-03-29 11:17:22 - mkk_comic - app.py:587 - INFO - 正在下载第 006/019 页...
2026-03-29 11:17:22 - mkk_comic - app.py:587 - INFO - 正在下载第 007/019 页...
2026-03-29 11:17:22 - mkk_comic - app.py:587 - INFO - 正在下载第 008/019 页...
2026-03-29 11:17:22 - mkk_comic - app.py:587 - INFO - 正在下载第 009/019 页...
2026-03-29 11:17:22 - mkk_comic - app.py:587 - INFO - 正在下载第 010/019 页...
2026-03-29 11:17:22 - mkk_comic - app.py:587 - INFO - 正在下载第 011/019 页...
2026-03-29 11:17:22 - mkk_comic - app.py:587 - INFO - 正在下载第 012/019 页...
2026-03-29 11:17:22 - mkk_comic - app.py:587 - INFO - 正在下载第 013/019 页...
2026-03-29 11:17:22 - mkk_comic - app.py:587 - INFO - 正在下载第 014/019 页...
2026-03-29 11:17:22 - mkk_comic - app.py:587 - INFO - 正在下载第 015/019 页...
2026-03-29 11:17:22 - mkk_comic - app.py:587 - INFO - 正在下载第 016/019 页...
2026-03-29 11:17:22 - mkk_comic - app.py:587 - INFO - 正在下载第 017/019 页...
2026-03-29 11:17:22 - mkk_comic - app.py:587 - INFO - 正在下载第 018/019 页...
2026-03-29 11:17:22 - mkk_comic - app.py:587 - INFO - 正在下载第 019/019 页...
2026-03-29 11:17:22 - mkk_comic - app.py:511 - INFO - 下载完成!
2026-03-29 11:17:22 - mkk_comic - app.py:512 - INFO - 成功下载: 19/19 页
2026-03-29 11:17:22 - mkk_comic - app.py:523 - INFO - 章节下载完成，等待 6.4 秒后继续...
2026-03-29 11:17:29 - mkk_comic - app.py:494 - INFO - 正在下载第7章: 第07话    UUID:5281b5fa-3d8a-11e9-a68e-00163e0ca5bd
2026-03-29 11:17:30 - mkk_comic - app.py:502 - INFO - 创建目录: ./out/魔都精兵的奴隸/第07话
2026-03-29 11:17:30 - mkk_comic - app.py:505 - INFO - 开始下载: 魔都精兵的奴隸 - 第07话
2026-03-29 11:17:30 - mkk_comic - app.py:506 - INFO - 总页数: 22
2026-03-29 11:17:30 - mkk_comic - app.py:587 - INFO - 正在下载第 001/022 页...
2026-03-29 11:17:30 - mkk_comic - app.py:587 - INFO - 正在下载第 002/022 页...
2026-03-29 11:17:30 - mkk_comic - app.py:587 - INFO - 正在下载第 003/022 页...
2026-03-29 11:17:30 - mkk_comic - app.py:587 - INFO - 正在下载第 004/022 页...
2026-03-29 11:17:30 - mkk_comic - app.py:587 - INFO - 正在下载第 005/022 页...
2026-03-29 11:17:30 - mkk_comic - app.py:587 - INFO - 正在下载第 006/022 页...
2026-03-29 11:17:30 - mkk_comic - app.py:587 - INFO - 正在下载第 007/022 页...
2026-03-29 11:17:30 - mkk_comic - app.py:587 - INFO - 正在下载第 008/022 页...
2026-03-29 11:17:30 - mkk_comic - app.py:587 - INFO - 正在下载第 009/022 页...
2026-03-29 11:17:30 - mkk_comic - app.py:587 - INFO - 正在下载第 010/022 页...
2026-03-29 11:17:30 - mkk_comic - app.py:587 - INFO - 正在下载第 011/022 页...
2026-03-29 11:17:30 - mkk_comic - app.py:587 - INFO - 正在下载第 012/022 页...
2026-03-29 11:17:30 - mkk_comic - app.py:587 - INFO - 正在下载第 013/022 页...
2026-03-29 11:17:30 - mkk_comic - app.py:587 - INFO - 正在下载第 014/022 页...
2026-03-29 11:17:30 - mkk_comic - app.py:587 - INFO - 正在下载第 015/022 页...
2026-03-29 11:17:30 - mkk_comic - app.py:587 - INFO - 正在下载第 016/022 页...
2026-03-29 11:17:30 - mkk_comic - app.py:587 - INFO - 正在下载第 017/022 页...
2026-03-29 11:17:30 - mkk_comic - app.py:587 - INFO - 正在下载第 018/022 页...
2026-03-29 11:17:30 - mkk_comic - app.py:587 - INFO - 正在下载第 019/022 页...
2026-03-29 11:17:30 - mkk_comic - app.py:587 - INFO - 正在下载第 020/022 页...
2026-03-29 11:17:30 - mkk_comic - app.py:587 - INFO - 正在下载第 021/022 页...
2026-03-29 11:17:30 - mkk_comic - app.py:587 - INFO - 正在下载第 022/022 页...
2026-03-29 11:17:31 - mkk_comic - app.py:511 - INFO - 下载完成!
2026-03-29 11:17:31 - mkk_comic - app.py:512 - INFO - 成功下载: 22/22 页
2026-03-29 11:17:31 - mkk_comic - app.py:523 - INFO - 章节下载完成，等待 5.2 秒后继续...
